File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
BU105_AndrGera_5.tiff,Full,117922,358886,69031.798601,5.19885,7798.561904,0.291406,0.084674,11.430991,80457.442963,50303.536604,76875.701622,36.617,66330.722214,1925.197318,775.87907,13018.674214,6199.327689,5139.726558,41247.788266,19477.274559,16150.638797,5647.743525,16822.380112,27833.412968
BU105_AndrGera_6.tiff,Full,1078,1178,714.49352,1.64872,136.344148,0.431203,0.239494,2.396439,799.490838,249.360524,1036.550634,0.595,701.357957,13.135562,0,301.247794,28.269273,0,947.740093,88.810542,0,201.479805,47.880719,0
BU105_AndrGera_7.tiff,Full,1346,1892,1056.927026,1.790095,224.491866,0.538278,0.239494,3.146639,1086.899345,649.29275,1915.170421,0.729,982.533081,74.393945,0,434.613617,174.320267,0,1367.131691,548.03873,0,324.723012,324.569738,0
BU105_AndrGera_8.tiff,Full,1216,1206,831.260964,1.450808,181.283747,0.512009,0.189337,3.134082,987.866887,470.561415,1401.188287,0.655,786.752864,44.5081,0,334.454876,110.984134,0,1051.76645,349.421837,0,249.580572,220.980843,0
BU105_AndrGera_9.tiff,Full,167,119,171.107736,0.695468,24.565141,0.190233,0.084674,1.060962,297.762172,11.360613,106.222299,0.525,171.107736,0,0,33.782706,0,0,106.222299,0,0,11.360613,0,0
BU105_AndrGera_10.tiff,Full,541,738,559.322513,1.319453,131.656965,0.794451,0.42337,3.67333,448.470501,616.244214,1486.839702,0.43,498.313292,61.009221,0,315.496039,157.474765,0,992.118137,494.721565,0,289.627523,326.616691,0
BU105_AndrGera_11.tiff,Full,631,621,442.185753,1.404387,92.01935,0.328792,0.254022,1.272929,610.532093,61.527771,468.643297,0.523,442.185753,0,0,148.946144,0,0,468.643297,0,0,61.527771,0,0
BU105_AndrGera_12.tiff,Full,1111,807,577.377323,1.3977,103.381511,0.310053,0.169348,1.524132,830.640223,90.461538,577.168537,0.543,577.377323,0,0,183.45886,0,0,577.168537,0,0,90.461538,0,0
BU105_AndrGera_13.tiff,Full,186,138,156.522834,0.881661,31.320778,0.277892,0.169348,1.016088,246.873095,17.379479,143.546262,0.457,156.522834,0,0,45.677855,0,0,143.546262,0,0,17.379479,0,0
BU105_AsteAzur_1.tiff,Full,34075,90874,23572.60513,3.855068,12633.969189,2.093703,0.119747,137.675901,23209.732285,3215229.827913,189260.761694,8.91,21144.996174,1149.441844,1278.167112,6680.32715,3488.238362,50048.513468,21064.490729,10963.00116,157233.269805,4379.102978,8935.300623,3201915.424313
BU105_AsteAzur_2.tiff,Full,52452,126419,30328.959275,4.16826,9141.749016,0.963478,0.119747,91.359169,34740.225769,868540.692026,114773.409202,11.886,28409.300223,815.094867,1104.564185,7528.927253,2394.058727,26575.382794,23758.57253,7525.055432,83489.781241,4374.237466,5926.638143,858239.816418
BU105_AsteAzur_3.tiff,Full,67994,254500,53963.421838,4.716158,20454.715898,1.378216,0.119747,138.479384,52417.904258,4515066.344567,320703.999011,24.088,49753.71846,1882.603895,2327.099483,13322.673004,5737.689379,82944.047269,42097.40087,18029.47337,260577.124771,7410.242968,14701.557014,4492954.544585
BU105_PaniPerl_1.tiff,Full,14536,22342,6228.848768,3.586859,1165.2301,0.581775,0.119747,8.505418,6206.291957,9566.278752,14054.88072,1.923,5509.153894,607.412695,112.282178,1881.842687,1920.591648,664.643793,5931.79939,6035.041273,2088.040058,1343.501281,5089.578612,3133.198859
BU105_PaniPerl_2.tiff,Full,2379,5174,2202.837488,2.348789,538.162094,0.934367,0.42337,5.4039,1349.287136,4120.593707,7126.126347,0.967,1806.164263,394.392528,2.280697,1017.805965,1236.650807,11.774931,3201.662467,3887.471842,36.992037,846.304737,3226.516671,47.7723
