File.Name,Success,site,species,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,total_root_length_mm,Branching.frequency.per.mm,Network.Area.mm2,average_diameter_mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,volume_mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
104_PoaPrat_10.tiff,N,104,Poa pratensis,Full,226,174,88.586989,1.964171,18.540811,0.423865,0.267763,1.533512,91.86873,22.859411,124.924045,0.136,88.586989,0,0,39.743083,0,0,124.924045,0,0,22.859411,0,0
104_PoaPrat_10.tiff,N,104,Poa pratensis,Full,404,266,142.503534,1.86662,31.930202,0.389085,0.189337,1.780169,186.101281,41.29618,193.834686,0.192,142.503534,0,0,61.617909,0,0,193.834686,0,0,41.29618,0,0
104_PoaPrat_11.tiff,N,104,Poa pratensis,Full,92,46,18.279401,2.516494,1.989588,0.154293,0.119747,0.42337,30.773374,0.467193,9.214446,0.046,18.279401,0,0,2.92291,0,0,9.214446,0,0,0.467193,0,0
104_PoaPrat_11.tiff,N,104,Poa pratensis,Full,111,93,58.87277,1.579678,12.301391,0.278018,0.267763,0.661325,88.852013,4.838883,53.74803,0.127,58.87277,0,0,17.085733,0,0,53.74803,0,0,4.838883,0,0
104_PoaPrat_11.tiff,N,104,Poa pratensis,Full,224,173,101.922414,1.69737,20.892468,0.26799,0.189337,0.780656,156.32272,9.080829,91.453423,0.28,101.922414,0,0,29.058417,0,0,91.453423,0,0,9.080829,0,0
104_PoaPrat_12.tiff,N,104,Poa pratensis,Full,119,125,69.3163,1.803328,13.278261,0.316434,0.239494,1.136021,92.086218,9.184007,71.430489,0.043,69.3163,0,0,22.720625,0,0,71.430489,0,0,9.184007,0,0
104_PoaPrat_12.tiff,N,104,Poa pratensis,Full,279,259,128.665263,2.012975,28.689503,0.367549,0.254022,1.314494,155.111753,25.945953,160.10297,0.139,128.665263,0,0,50.952219,0,0,160.10297,0,0,25.945953,0,0
104_PoaPrat_12.tiff,N,104,Poa pratensis,Full,372,388,196.838892,1.971155,45.586663,0.418562,0.305296,1.831779,214.567182,51.111709,275.247358,0.154,196.838892,0,0,87.552768,0,0,275.247358,0,0,51.111709,0,0
104_PoaPrat_13.tiff,N,104,Poa pratensis,Full,2429,3051,1450.683393,2.103147,342.590953,0.557569,0.305296,4.478126,1364.07693,942.584532,2751.33795,0.498,1370.963193,79.7202,0,663.756533,211.293725,0,2087.539138,663.798813,0,481.345557,461.238975,0
104_PoaPrat_13.tiff,N,104,Poa pratensis,Full,2487,3824,2360.819684,1.619776,692.326499,0.815818,0.508044,6.293848,1699.917811,3128.56992,6451.320468,0.645,2106.814909,232.042785,21.96199,1262.430176,668.59513,120.915948,3969.647882,2101.803933,379.868653,973.761468,1630.156565,524.651888
104_PoaPrat_13.tiff,N,104,Poa pratensis,Full,2810,5047,3002.577231,1.680889,937.069147,1.056002,0.598736,9.733092,1759.395349,7582.985278,10826.14995,0.74,2493.632565,422.508265,86.4364,1627.599869,1232.73954,584.184007,5117.124044,3873.757718,1835.268186,1372.733806,3014.2767,3195.974772
